Ders Kodu,Ders Section,Ders Adı,Hoca,Saat
PSY 305,PSY 305.A,İş ve Örgüt Psikolojisi,HAYRİYE CANAN SÜMER,Çarşamba 10:40 - 11:30 / Pazartesi 10:40 - 12:30
PSY 305,PSY 305.A,İş ve Örgüt Psikolojisi,HAYRİYE CANAN SÜMER,Çarşamba 10:40 - 11:30 / Pazartesi 10:40 - 12:30
PSY 405,PSY 405.A,Kamu Sağlığı ve Egzersiz Psikolojisi,DUYGU GÜRLEYİK,Çarşamba 14:40 - 17:30
PSY 429,PSY 429.A,İş Hayatında Liderlik ve Motivasyon,GÜL CANAN ERGİN,Pazartesi 12:40 - 15:30
PSY 433,PSY 433.A,Pozitif Psikoloji,AYŞE ALTAN ATALAY,Salı 08:40 - 11:30
RUS 101,RUS 101.B,Rusça I,ANNA EKICI,Salı 14:40 - 16:30 / Cuma 14:40 - 16:30
RUS 101,RUS 101.A,Rusça I,ANNA EKICI,Salı 11:40 - 13:30 / Perşembe 08:40 - 10:30
RUS 102,RUS 102.A,Rusça II,ANNA EKICI,Perşembe 10:40 - 12:30 / Pazartesi 08:40 - 10:30
RUS 201,RUS 201.A,Rusça III,ANNA EKICI,Cuma 10:40 - 12:30 / Pazartesi 14:40 - 16:30
SAS 101,SAS 101.A,Otel ve Yiyecek İçecek Endüstrisi,AYDIN BEYHAN,Pazartesi 10:40 - 13:30
SAS 201,SAS 201.A,Hizmet Pazarlaması,AYDIN BEYHAN,Çarşamba 14:40 - 17:30
SEC 101,SEC 101.B,Üniversite Yaşamına Giriş,NURKAN DİKMEN,
SEC 101,SEC 101.C,Üniversite Yaşamına Giriş,ZELİHA AYDIN ŞAHİN,
SEC 101,SEC 101.A,Üniversite Yaşamına Giriş,Üniversite Yaşamına Giriş,
SEC 150,SEC 150.A,Farkındalık/Mindfulness ile Yaşamak,AYŞE ZADİL,Salı 10:40 - 12:30
SEC 150,SEC 150.B,Farkındalık/Mindfulness ile Yaşamak,AYŞE ZADİL,Cuma 10:40 - 12:30
SEC 201,SEC 201.A,Sektörel Hazırlık,MERİÇ BIÇAKCIOĞLU,Pazartesi 20:40 - 21:30
SEC 280,SEC 280.A,Dijital Dönüşüm,ŞİRİN AKTAŞ,Çarşamba 16:40 - 18:30
SEC 302,SEC 302.B,Sektörel Çözümler: Yerel Uzmanlık,MERİÇ BIÇAKCIOĞLU,Perşembe 08:40 - 10:30
SEC 302,SEC 302.A,Sektörel Çözümler: Yerel Uzmanlık,MERİÇ BIÇAKCIOĞLU,Pazartesi 13:40 - 15:30
SEC 401,SEC 401.L,İşletmede Sektörel Uygulamalar,PELİN ATAHAN DEMİRCİLER,Salı 15:40 - 18:30
SEC 401,SEC 401.C,İşletmede Sektörel Uygulamalar,PELİN ATAHAN DEMİRCİLER,Perşembe 18:40 - 21:30
SEC 401,SEC 401.K,İşletmede Sektörel Uygulamalar,PELİN ATAHAN DEMİRCİLER,Salı 15:40 - 18:30
SEC 401,SEC 401.J,İşletmede Sektörel Uygulamalar,PELİN ATAHAN DEMİRCİLER,Salı 15:40 - 18:30
SEC 401,SEC 401.I,İşletmede Sektörel Uygulamalar,PELİN ATAHAN DEMİRCİLER,Salı 15:40 - 18:30
SEC 401,SEC 401.H,İşletmede Sektörel Uygulamalar,PELİN ATAHAN DEMİRCİLER,Salı 15:40 - 18:30
SEC 401,SEC 401.G,İşletmede Sektörel Uygulamalar,PELİN ATAHAN DEMİRCİLER,Perşembe 18:40 - 21:30
SEC 401,SEC 401.A,İşletmede Sektörel Uygulamalar,PELİN ATAHAN DEMİRCİLER,Perşembe 18:40 - 21:30
SEC 401,SEC 401.F,İşletmede Sektörel Uygulamalar,PELİN ATAHAN DEMİRCİLER,Perşembe 18:40 - 21:30
SEC 401,SEC 401.E,İşletmede Sektörel Uygulamalar,PELİN ATAHAN DEMİRCİLER,Perşembe 18:40 - 21:30
SEC 401,SEC 401.D,İşletmede Sektörel Uygulamalar,PELİN ATAHAN DEMİRCİLER,Perşembe 18:40 - 21:30
